timestamp,left_x,left_y,right_x,right_y,head_x,head_y,center_x,center_y,eye_dx,eye_dy,head_eye_dx,head_eye_dy
1754382522.685436,722,377,594,371,652,463,658,374,128,6,6,89
1754382522.7211,721,377,593,371,651,464,657,374,128,6,6,90
1754382522.757267,721,377,593,371,651,464,657,374,128,6,6,90
1754382522.7857852,721,378,593,372,651,464,657,375,128,6,6,89
1754382522.818847,720,378,592,372,650,464,656,375,128,6,6,89
1754382522.852101,720,378,592,372,650,464,656,375,128,6,6,89
1754382522.885005,720,378,592,372,650,464,656,375,128,6,6,89
1754382522.91887,720,378,592,372,650,464,656,375,128,6,6,89
1754382522.95372,720,378,592,372,650,464,656,375,128,6,6,89
1754382522.98443,720,378,592,372,650,463,656,375,128,6,6,88
1754382523.02953,720,378,592,372,650,463,656,375,128,6,6,88
1754382523.051153,720,378,592,372,650,462,656,375,128,6,6,87
1754382523.084759,721,378,592,372,650,462,656,375,129,6,6,87
1754382523.118142,721,378,593,372,650,462,657,375,128,6,7,87
1754382523.151881,722,378,593,372,651,461,657,375,129,6,6,86
1754382523.19149,722,378,593,372,651,461,657,375,129,6,6,86
1754382523.223223,722,377,594,371,651,461,658,374,128,6,7,87
1754382523.2548742,723,377,595,370,652,461,659,373,128,7,7,88
1754382523.288387,723,377,595,370,652,461,659,373,128,7,7,88
1754382523.3223948,723,377,595,370,652,461,659,373,128,7,7,88
1754382523.356537,723,377,594,370,652,461,658,373,129,7,6,88
1754382523.388569,723,377,594,370,652,462,658,373,129,7,6,89
1754382523.4225569,723,377,595,371,652,461,659,374,128,6,7,87
1754382523.4539342,723,377,594,371,652,462,658,374,129,6,6,88
1754382523.4880462,723,377,594,371,652,462,658,374,129,6,6,88
1754382523.52163,723,377,594,371,651,462,658,374,129,6,7,88
1754382523.554377,723,377,594,371,651,462,658,374,129,6,7,88
1754382523.587222,723,377,594,371,652,462,658,374,129,6,6,88
1754382523.620258,723,377,594,371,652,462,658,374,129,6,6,88
1754382523.654343,722,377,594,371,652,463,658,374,128,6,6,89
1754382523.68627,722,377,594,371,652,463,658,374,128,6,6,89
1754382523.722551,722,377,594,371,652,464,658,374,128,6,6,90
1754382523.753175,722,377,594,371,652,464,658,374,128,6,6,90
1754382523.7889652,722,377,594,371,652,464,658,374,128,6,6,90
1754382523.8204732,722,377,594,371,652,464,658,374,128,6,6,90
1754382523.853845,722,378,594,371,652,464,658,374,128,7,6,90
1754382523.886155,722,378,594,371,652,464,658,374,128,7,6,90
1754382523.922202,722,378,594,371,652,464,658,374,128,7,6,90
1754382523.9541361,723,378,594,372,652,464,658,375,129,6,6,89
1754382523.988055,723,378,594,372,652,464,658,375,129,6,6,89
1754382524.021101,723,378,594,371,652,464,658,374,129,7,6,90
1754382524.0540512,723,378,594,371,652,464,658,374,129,7,6,90
1754382524.087113,725,377,596,372,653,464,660,374,129,5,7,90
1754382524.120517,727,378,598,373,653,464,662,375,129,5,9,89
1754382524.153308,727,378,599,372,653,464,663,375,128,6,10,89
1754382524.186422,728,378,599,372,653,464,663,375,129,6,10,89
1754382524.220021,727,377,599,372,653,464,663,374,128,5,10,90
1754382524.253588,727,377,599,372,653,464,663,374,128,5,10,90
1754382524.2878668,727,377,599,372,653,464,663,374,128,5,10,90
1754382524.319752,727,377,599,372,653,464,663,374,128,5,10,90
1754382524.3533812,728,377,599,372,653,464,663,374,129,5,10,90
1754382524.389246,727,377,599,372,654,464,663,374,128,5,9,90
1754382524.4211452,724,377,595,371,653,464,659,374,129,6,6,90
1754382524.453224,723,378,595,372,654,465,659,375,128,6,5,90
1754382524.486047,724,378,595,372,653,465,659,375,129,6,6,90
1754382524.519242,724,378,595,372,653,465,659,375,129,6,6,90
1754382524.554795,724,378,595,372,653,465,659,375,129,6,6,90
1754382524.5862982,724,378,595,372,653,465,659,375,129,6,6,90
1754382524.6191921,724,378,596,372,654,465,660,375,128,6,6,90
1754382524.6535559,724,379,595,373,654,465,659,376,129,6,5,89
1754382524.687159,724,379,596,372,654,466,660,375,128,7,6,91
1754382524.72016,724,379,595,373,654,466,659,376,129,6,5,90
1754382524.753417,724,379,596,373,654,466,660,376,128,6,6,90
1754382524.788724,725,380,596,373,654,466,660,376,129,7,6,90
1754382524.820865,725,379,596,372,654,466,660,375,129,7,6,91
1754382524.853128,725,379,596,372,654,466,660,375,129,7,6,91
1754382524.886702,725,379,597,372,654,466,661,375,128,7,7,91
1754382524.920699,725,379,596,372,655,466,660,375,129,7,5,91
1754382524.953259,726,379,597,372,655,466,661,375,129,7,6,91
1754382524.9881852,725,379,597,373,655,466,661,376,128,6,6,90
1754382525.021197,726,379,597,373,655,466,661,376,129,6,6,90
1754382525.053498,725,379,597,373,655,466,661,376,128,6,6,90
1754382525.085751,725,379,596,373,654,466,660,376,129,6,6,90
1754382525.1193411,725,379,596,373,654,466,660,376,129,6,6,90
1754382525.153732,724,379,596,373,654,466,660,376,128,6,6,90
1754382525.187572,724,379,595,373,654,466,659,376,129,6,5,90
1754382525.2208252,724,379,595,373,654,466,659,376,129,6,5,90
1754382525.253705,724,379,595,373,654,466,659,376,129,6,5,90
1754382525.285939,724,380,595,373,653,466,659,376,129,7,6,90
1754382525.3207529,723,380,594,374,652,467,658,377,129,6,6,90
1754382525.352663,722,380,593,375,652,468,657,377,129,5,5,91
1754382525.387604,721,381,592,375,651,468,656,378,129,6,5,90
1754382525.4197361,721,381,592,376,650,468,656,378,129,5,6,90
1754382525.452332,721,381,592,376,650,469,656,378,129,5,6,91
1754382525.485385,721,382,592,377,650,469,656,379,129,5,6,90
1754382525.519673,721,382,592,377,650,469,656,379,129,5,6,90
1754382525.552981,721,382,592,377,650,469,656,379,129,5,6,90
1754382525.5858,722,382,592,377,650,469,657,379,130,5,7,90
1754382525.619859,721,382,592,377,650,469,656,379,129,5,6,90
1754382525.651808,722,382,592,377,650,470,657,379,130,5,7,91
1754382525.685645,722,382,592,377,650,470,657,379,130,5,7,91
1754382525.719628,723,382,593,377,651,469,658,379,130,5,7,90
1754382525.752126,723,382,593,377,651,469,658,379,130,5,7,90
1754382525.786308,724,382,594,376,652,469,659,379,130,6,7,90
1754382525.820012,724,382,594,376,653,469,659,379,130,6,6,90
1754382525.851755,724,381,595,376,653,469,659,378,129,5,6,91
1754382525.885932,724,381,595,376,653,469,659,378,129,5,6,91
1754382525.9196742,725,381,595,376,653,469,660,378,130,5,7,91
1754382525.952777,724,381,595,376,654,468,659,378,129,5,5,90
1754382525.987007,725,381,596,375,654,468,660,378,129,6,6,90
1754382526.019862,725,381,596,375,654,468,660,378,129,6,6,90
1754382526.053188,725,381,596,375,654,468,660,378,129,6,6,90
1754382526.086886,725,381,596,375,654,468,660,378,129,6,6,90
1754382526.120461,725,380,596,375,655,468,660,377,129,5,5,91
1754382526.1524322,725,381,597,375,655,468,661,378,128,6,6,90
1754382526.1861062,726,381,597,375,655,468,661,378,129,6,6,90
1754382526.219338,726,381,596,375,655,468,661,378,130,6,6,90
1754382526.252649,726,380,597,375,655,467,661,377,129,5,6,90
1754382526.2859678,726,380,597,375,655,467,661,377,129,5,6,90
1754382526.3184268,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.352515,726,380,597,375,655,467,661,377,129,5,6,90
1754382526.386014,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.416219,726,380,597,375,655,467,661,377,129,5,6,90
1754382526.452458,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.485417,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.521395,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.553088,726,380,597,375,655,467,661,377,129,5,6,90
1754382526.58528,726,380,596,375,655,468,661,377,130,5,6,91
1754382526.62164,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.653604,726,380,597,375,655,467,661,377,129,5,6,90
